state,statehouse_district_number,total_candidates,pct_white,pct_nonwhite,pct_female,pct_male,count_white,count_nonwhite,count_female,count_male
GA,118,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,119,1,1,0,0,1,1,0,0,1
GA,120,2,0.5,0.5,0,1,1,1,0,2
GA,121,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
GA,122,1,1,0,0,1,1,0,0,1
GA,123,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,124,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
GA,125,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
GA,126,2,0,1,0,1,0,2,0,2
GA,127,1,1,0,0,1,1,0,0,1
GA,128,2,0,1,0.5,0.5,0,2,1,1
GA,129,2,0.5,0.5,0,1,1,1,0,2
GA,130,1,0,1,1,0,0,1,1,0
GA,131,6,1,0,0.16666666666666666,0.8333333333333334,6,0,1,5
GA,132,1,0,1,0,1,0,1,0,1
GA,133,1,0,1,0,1,0,1,0,1
GA,134,2,0.5,0.5,0,1,1,1,0,2
GA,135,1,1,0,1,0,1,0,1,0
GA,136,3,0.3333333333333333,0.6666666666666666,0,1,1,2,0,3
GA,137,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
GA,138,1,1,0,0,1,1,0,0,1
GA,139,5,1,0,0.2,0.8,5,0,1,4
GA,140,2,0,1,0.5,0.5,0,2,1,1
GA,141,1,0,1,1,0,0,1,1,0
GA,142,2,0,1,0.5,0.5,0,2,1,1
GA,143,2,0.5,0.5,1,0,1,1,2,0
GA,144,2,1,0,0.5,0.5,2,0,1,1
GA,145,6,0.5,0.5,0.3333333333333333,0.6666666666666666,3,3,2,4
GA,146,1,0,1,0,1,0,1,0,1
GA,147,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,148,1,0,1,0,1,0,1,0,1
GA,149,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
GA,150,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,151,1,0,1,0,1,0,1,0,1
GA,152,1,1,0,0,1,1,0,0,1
GA,153,4,0,1,0.5,0.5,0,4,2,2
GA,154,2,0,1,0,0.5,0,2,0,1
GA,155,1,0,1,0,1,0,1,0,1
GA,156,1,1,0,1,0,1,0,1,0
GA,157,1,1,0,0,1,1,0,0,1
GA,158,2,1,0,0.5,0.5,2,0,1,1
GA,159,1,1,0,0,1,1,0,0,1
GA,160,1,0,1,0,1,0,1,0,1
GA,161,1,1,0,0,1,1,0,0,1
GA,162,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
GA,163,1,1,0,1,0,1,0,1,0
GA,164,1,0,1,0,1,0,1,0,1
GA,165,1,0,1,1,0,0,1,1,0
GA,166,2,0.5,0.5,0,1,1,1,0,2
GA,167,2,1,0,0.5,0.5,2,0,1,1
GA,168,2,0,1,0,1,0,2,0,2
GA,169,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
GA,170,2,0.5,0.5,0.5,0.5,1,1,1,1
GA,171,2,0,1,0,1,0,2,0,2
GA,172,1,1,0,0,1,1,0,0,1
GA,173,2,0,1,1,0,0,2,2,0
GA,174,1,1,0,0,1,1,0,0,1
GA,175,2,1,0,0.5,0.5,2,0,1,1
GA,176,1,1,0,0,1,1,0,0,1
GA,177,2,0.5,0.5,0,1,1,1,0,2
GA,178,1,1,0,0,1,1,0,0,1
GA,179,1,1,0,0,1,1,0,0,1
GA,180,4,0.5,0.5,0,0.75,2,2,0,3
MI,1,3,0,1,0.3333333333333333,0.6666666666666666,0,3,1,2
MI,2,4,0.75,0.25,0,1,3,1,0,4
MI,3,5,0.4,0.6,0,1,2,3,0,5
MI,4,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,2,2,1
MI,5,7,0.42857142857142855,0.5714285714285714,0.5714285714285714,0.42857142857142855,3,4,4,3
MI,6,4,0.75,0.25,0.25,0.75,3,1,1,3
MI,7,7,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.5714285714285714,4,3,3,4
MI,8,5,0.4,0.6,0.4,0.6,2,3,2,3
MI,9,5,0.4,0.6,0.4,0.6,2,3,2,3
MI,10,4,0.25,0.75,0.25,0.75,1,3,1,3
MI,11,2,0.5,0.5,0,1,1,1,0,2
MI,12,4,1,0,0.5,0.5,4,0,2,2
MI,13,8,0.625,0.375,0.375,0.625,5,3,3,5
MI,14,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,15,2,1,0,0.5,0.5,2,0,1,1
MI,16,4,0.5,0.5,0.5,0.5,2,2,2,2
MI,17,2,0.5,0.5,1,0,1,1,2,0
MI,18,2,1,0,0,1,2,0,0,2
MI,19,2,1,0,0.5,0.5,2,0,1,1
MI,20,3,1,0,0,1,3,0,0,3
MI,21,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,22,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,23,4,1,0,0.25,0.75,4,0,1,3
MI,24,2,0,1,0,1,0,2,0,2
MI,25,6,0.16666666666666666,0.8333333333333334,0.5,0.5,1,5,3,3
MI,26,3,0.6666666666666666,0.3333333333333333,0,0.6666666666666666,2,1,0,2
MI,27,5,0.8,0.2,0.4,0.6,4,1,2,3
MI,28,4,0.75,0.25,0.5,0.5,3,1,2,2
MI,29,2,0,1,0,1,0,2,0,2
MI,30,2,1,0,0,1,2,0,0,2
MI,31,2,1,0,0,1,2,0,0,2
MI,32,5,0.8,0.2,0,1,4,1,0,5
MI,33,4,0.75,0.25,0.25,0.75,3,1,1,3
MI,34,2,1,0,0.5,0.5,2,0,1,1
MI,35,4,1,0,0.25,0.75,4,0,1,3
MI,36,4,0.75,0.25,0.25,0.75,3,1,1,3
MI,37,2,0.5,0.5,0.5,0.5,1,1,1,1
MI,38,3,1,0,0,1,3,0,0,3
MI,39,4,1,0,0.5,0.5,4,0,2,2
MI,40,4,0.75,0.25,0.75,0.25,3,1,3,1
MI,41,4,0.75,0.25,0.5,0.5,3,1,2,2
MI,42,3,1,0,0,1,3,0,0,3
MI,43,2,1,0,1,0,2,0,2,0
MI,44,4,0.75,0.25,0,1,3,1,0,4
MI,45,2,1,0,0.5,0.5,2,0,1,1
MI,46,2,1,0,0.5,0.5,2,0,1,1
MI,47,4,1,0,0.75,0.25,4,0,3,1
MI,48,4,0.5,0.5,0.5,0.5,2,2,2,2
MI,49,2,1,0,0.5,0.5,2,0,1,1
MI,50,5,1,0,0.2,0.8,5,0,1,4
MI,51,5,1,0,0.6,0.4,5,0,3,2
MI,52,2,0.5,0.5,0.5,0.5,1,1,1,1
MI,53,2,0.5,0.5,1,0,1,1,2,0
MI,54,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
MI,55,4,0.5,0.5,0,1,2,2,0,4
MI,56,2,1,0,0.5,0.5,2,0,1,1
MI,57,4,0.75,0.25,0.25,0.75,3,1,1,3
MI,58,4,0.5,0.5,0,1,2,2,0,4
