"GEOID","NAME","total_pop","white","male","female","pct_white","pct_nonwhite","pct_male","pct_female","state","statehouse_district_number"
"26053","State House District 53 (2022), Michigan",94799,45642,46819,47980,48.15,51.85,49.39,50.61,"MI",53
"26054","State House District 54 (2022), Michigan",92762,70082,45480,47282,75.55,24.45,49.03,50.97,"MI",54
"26055","State House District 55 (2022), Michigan",91636,71623,44436,47200,78.16,21.84,48.49,51.51,"MI",55
"26056","State House District 56 (2022), Michigan",88363,62081,46213,42150,70.26,29.74,52.3,47.7,"MI",56
"26057","State House District 57 (2022), Michigan",90016,69444,44506,45510,77.15,22.85,49.44,50.56,"MI",57
"26058","State House District 58 (2022), Michigan",91535,73099,44866,46669,79.86,20.14,49.02,50.98,"MI",58
"26059","State House District 59 (2022), Michigan",88336,79411,42695,45641,89.9,10.1,48.33,51.67,"MI",59
"26060","State House District 60 (2022), Michigan",92620,78388,45819,46801,84.63,15.37,49.47,50.53,"MI",60
"26061","State House District 61 (2022), Michigan",92954,68567,45599,47355,73.76,26.24,49.06,50.94,"MI",61
"26062","State House District 62 (2022), Michigan",89808,71868,43024,46784,80.02,19.98,47.91,52.09,"MI",62
"26063","State House District 63 (2022), Michigan",91051,81625,44628,46423,89.65,10.35,49.01,50.99,"MI",63
"26064","State House District 64 (2022), Michigan",90768,81442,44689,46079,89.73,10.27,49.23,50.77,"MI",64
"26065","State House District 65 (2022), Michigan",93090,84603,48873,44217,90.88,9.12,52.5,47.5,"MI",65
"26066","State House District 66 (2022), Michigan",93356,85965,48026,45330,92.08,7.92,51.44,48.56,"MI",66
"26067","State House District 67 (2022), Michigan",93039,84737,47046,45993,91.08,8.92,50.57,49.43,"MI",67
"26068","State House District 68 (2022), Michigan",94651,80957,45310,49341,85.53,14.47,47.87,52.13,"MI",68
"26069","State House District 69 (2022), Michigan",90146,64470,44025,46121,71.52,28.48,48.84,51.16,"MI",69
"26070","State House District 70 (2022), Michigan",90655,35847,44537,46118,39.54,60.46,49.13,50.87,"MI",70
"26071","State House District 71 (2022), Michigan",91915,86798,45944,45971,94.43,5.57,49.99,50.01,"MI",71
"26072","State House District 72 (2022), Michigan",92325,82669,43915,48410,89.54,10.46,47.57,52.43,"MI",72
"26073","State House District 73 (2022), Michigan",90395,73619,44208,46187,81.44,18.56,48.91,51.09,"MI",73
"26074","State House District 74 (2022), Michigan",89685,58143,43080,46605,64.83,35.17,48.03,51.97,"MI",74
"26075","State House District 75 (2022), Michigan",92369,77757,45775,46594,84.18,15.82,49.56,50.44,"MI",75
"26076","State House District 76 (2022), Michigan",92266,75845,45590,46676,82.2,17.8,49.41,50.59,"MI",76
"26077","State House District 77 (2022), Michigan",93595,68581,46951,46644,73.27,26.73,50.16,49.84,"MI",77
"26078","State House District 78 (2022), Michigan",92241,83770,48990,43251,90.82,9.18,53.11,46.89,"MI",78
"26079","State House District 79 (2022), Michigan",90275,76803,45278,44997,85.08,14.92,50.16,49.84,"MI",79
"26080","State House District 80 (2022), Michigan",92165,67217,45302,46863,72.93,27.07,49.15,50.85,"MI",80
"26081","State House District 81 (2022), Michigan",90266,72579,45724,44542,80.41,19.59,50.65,49.35,"MI",81
"26082","State House District 82 (2022), Michigan",90902,49494,43366,47536,54.45,45.55,47.71,52.29,"MI",82
"26083","State House District 83 (2022), Michigan",93343,55942,47248,46095,59.93,40.07,50.62,49.38,"MI",83
"26084","State House District 84 (2022), Michigan",90941,74693,44574,46367,82.13,17.87,49.01,50.99,"MI",84
"26085","State House District 85 (2022), Michigan",90010,81644,44302,45708,90.71,9.29,49.22,50.78,"MI",85
"26086","State House District 86 (2022), Michigan",90671,67178,44866,45805,74.09,25.91,49.48,50.52,"MI",86
"26087","State House District 87 (2022), Michigan",90984,60320,45713,45271,66.3,33.7,50.24,49.76,"MI",87
"26088","State House District 88 (2022), Michigan",91361,83303,45340,46021,91.18,8.82,49.63,50.37,"MI",88
"26089","State House District 89 (2022), Michigan",92920,85436,46703,46217,91.95,8.05,50.26,49.74,"MI",89
"26090","State House District 90 (2022), Michigan",92013,83217,46742,45271,90.44,9.56,50.8,49.2,"MI",90
"26091","State House District 91 (2022), Michigan",92067,84578,47340,44727,91.87,8.13,51.42,48.58,"MI",91
"26092","State House District 92 (2022), Michigan",92581,79606,47047,45534,85.99,14.01,50.82,49.18,"MI",92
"26093","State House District 93 (2022), Michigan",88526,79382,45228,43298,89.67,10.33,51.09,48.91,"MI",93
"26094","State House District 94 (2022), Michigan",90289,47807,42889,47400,52.95,47.05,47.5,52.5,"MI",94
"26095","State House District 95 (2022), Michigan",91018,83368,45366,45652,91.6,8.4,49.84,50.16,"MI",95
"26096","State House District 96 (2022), Michigan",90984,83366,44788,46196,91.63,8.37,49.23,50.77,"MI",96
"26097","State House District 97 (2022), Michigan",94130,86492,47694,46436,91.89,8.11,50.67,49.33,"MI",97
"26098","State House District 98 (2022), Michigan",91646,86859,46277,45369,94.78,5.22,50.5,49.5,"MI",98
"26099","State House District 99 (2022), Michigan",90020,85192,45659,44361,94.64,5.36,50.72,49.28,"MI",99
"26100","State House District 100 (2022), Michigan",92164,85720,46557,45607,93.01,6.99,50.52,49.48,"MI",100
"26101","State House District 101 (2022), Michigan",93472,84189,47850,45622,90.07,9.93,51.19,48.81,"MI",101
"26102","State House District 102 (2022), Michigan",92489,83712,46960,45529,90.51,9.49,50.77,49.23,"MI",102
"26103","State House District 103 (2022), Michigan",93570,86769,45579,47991,92.73,7.27,48.71,51.29,"MI",103
"26104","State House District 104 (2022), Michigan",89647,83864,45870,43777,93.55,6.45,51.17,48.83,"MI",104
"26105","State House District 105 (2022), Michigan",89378,84085,45328,44050,94.08,5.92,50.71,49.29,"MI",105
"26106","State House District 106 (2022), Michigan",91581,86214,46202,45379,94.14,5.86,50.45,49.55,"MI",106
