state,statehouse_district_number,full_name,first_name,middle_name,last_name,suffix,party_code,notes
MI ,65,Jaime Greene,Jaime,,Greene,,100,
MI ,66,Josh Schriver,Josh,,Schriver,,100,
MI ,67,Phil Green,Phil,,Green,,100,
MI ,68,David Martin,David,,Martin,,100,
MI ,69,Jasper Martus,Jasper,,Martus,,200,
MI ,70,Cynthia Neeley,Cynthia,,Neeley,,200,
MI ,71,Brian BeGole,Brian,,BeGole,,100,
MI ,72,Mike Mueller,Mike,,Mueller,,100,
MI ,73,Julie Brixie,Julie,,Brixie,,200,
MI ,74,Kara Hope,Kara,,Hope,,200,
MI ,75,Penelope Tsernoglou,Penelope,,Tsernoglou,,200,
MI ,76,Angela Witwer,Angela,,Witwer,,200,
MI ,77,Emily Dievendorf,Emily,,Dievendorf,,200,
MI ,78,Gina Johnsen,Gina,,Johnsen,,100,
MI ,79,Angela Rigas,Angela,,Rigas,,100,
MI ,80,Phil Skaggs,Phil,,Skaggs,,200,
MI ,81,Rachel Hood,Rachel,,Hood,,200,
MI ,82,Kristian Grant,Kristian,,Grant,,200,
MI ,83,John Fitzgerald,John,,Fitzgerald,,200,
MI ,84,Carol Glanville,Carol,,Glanville,,200,
MI ,85,Bradley Slagh,Bradley,,Slagh,,100,
MI ,86,Nancy De Boer,Nancy,,DeBoer,,100,
MI ,87,Will Snyder,Will,,Snyder,,200,
MI ,88,Greg VanWoerkom,Greg,,VanWoerkom,,100,
MI ,89,Luke Meerman,Luke,,Meerman,,100,
MI ,90,Bryan Posthumus,Bryan,,Posthumus,,100,
MI ,91,Pat Outman,Pat,,Outman,,100,
MI ,92,Jerry Neyer,Jerry,,Neyer,,100,
MI ,93,Graham Filler,Graham,,Filler,,100,
MI ,94,Amos O'Neal,Amos,,O'Neal,,200,
MI ,95,Bill Schuette,Bill,,Schuette,,100,
MI ,96,Timothy Beson,Timothy,,Beson,,100,
MI ,97,Matthew Bierlein,Matthew,,Bierlein,,100,
MI ,98,Gregory Alexander,Gregory,,Alexander,,100,
MI ,99,Mike Hoadley,Mike,,Hoadley,,100,
MI ,100,Tom Kunse,Tom,,Kunse,,100,
MI ,101,Joseph Fox,Joseph,,Fox,,100,
MI ,102,Curtis VanderWall,Curtis,,VanderWall,,100,
MI ,103,Betsy Coffia,Betsy,,Coffia,,200,
MI ,104,John Roth,John,,Roth,,100,
MI ,105,Ken Borton,Ken,,Borton,,100,
MI ,106,Cam Cavitt,Cam,,Cavitt,,100,
MI ,107,Neil Friske,Neil,,Friske,,100,
MI ,108,Dave Prestin,Dave,,Prestin,,100,
MI ,109,Jenn Hill,Jenn,,Hill,,200,
MI ,110,Gregory Markkanen,Gregory,,Markkanen,,100,
GA,1,Mike Cameron,Mike,,Cameron,,100,
GA,2,Steve Tarvin,Steve,,Tarvin,,100,
GA,3,Mitchell Horner,Mitchell,,Horner,,100,
GA,4,Kasey Carpenter,Kasey,,Carpenter,,100,
GA,5,Matt Barton,Matt,,Barton,,100,
GA,6,Jason Ridley,Jason,,Ridley,,100,
GA,7,Johnny Chastain,Johnny,,Chastain,,100,
GA,8,Stan Gunter,Stan,,Gunter,,100,
GA,9,Will Wade,Will,,Wade,,100,
GA,10,Victor Anderson,Victor,,Anderson,,100,
GA,11,Rick Jasperse,Rick,,Jasperse,,100,
GA,12,Eddie Lumsden,Eddie,,Lumsden,,100,
GA,13,Katie Dempsey,Katie,,Dempsey,,100,
GA,14,Mitchell Scoggins,Mitchell,,Scoggins,,100,
GA,15,Matthew Gambill,Matthew,,Gambill,,100,
GA,16,Trey Kelley,Trey,,Kelley,,100,
GA,17,Martin Momtahan,Martin,,Momtahan,,100,
GA,18,Tyler Paul Smith,Tyler,Paul,Smith,,100,
GA,19,Joseph Gullett,Joseph,,Gullett,,100,
GA,20,Charlice Byrd,Charlice,,Byrd,,100,
GA,21,Brad Thomas,Brad,,Thomas,,100,
GA,22,Jordan Ridley,Jordan,,Ridley,,100,
GA,23,Mandi Ballinger,Mandi,,Ballinger,,100,
GA,24,Carter Barrett,Carter,,Barrett,,100,
GA,25,Todd Jones,Todd,,Jones,,100,
GA,26,Lauren McDonald III,Lauren,,McDonald,III,100,
GA,27,Lee Hawkins,Lee,,Hawkins,,100,
GA,28,Brent Cox,Brent,,Cox,,100,
GA,29,Matt Dubnik,Matt,,Dubnik,,100,
GA,30,Derrick McCollum,Derrick,,McCollum,,100,
GA,31,Emory Dunahoo,Emory,,Dunahoo,,100,
GA,32,Chris Erwin,Chris,,Erwin,,100,
