state,statehouse_district_number,nonwhite_legislator_2022,woman_legislator_2022,nonwhite_candidates_2024,women_candidates_2024,margin_of_victory,percent_nonwhite_voters,percent_women_voters
MI,69,0,0,1,0,12.5,28.48,51.16
MI,70,0,1,0,0,59.23,60.46,50.87
MI,71,0,0,0,0,25.26,5.57,50.01
MI,72,0,0,0,0,21.6,10.46,52.43
MI,73,0,1,0,0,9.56,18.56,51.09
MI,74,0,1,0,0,28.5,35.17,51.97
MI,75,0,1,0,0,18.22,15.82,50.44
MI,76,0,1,0,0,4.2,17.8,50.59
MI,77,0,1,0,1,20.4,26.73,49.84
MI,78,0,1,0,0.5,37.18,9.18,46.89
MI,79,0,1,0,0,32.42,14.92,49.84
MI,80,0,0,0,0,14.28,27.07,50.85
MI,81,0,1,0,0,11.42,19.59,49.35
MI,82,1,0,0,0,50.14,45.55,52.29
MI,83,0,0,0.6666666666666666,0.3333333333333333,6.24,40.07,49.38
MI,84,0,1,0,0,10.12,17.87,50.99
MI,85,0,0,1,1,40.78,9.29,50.78
MI,86,0,1,0,1,12.2,25.91,50.52
MI,87,0,0,0.5,0,21.48,33.7,49.76
MI,88,0,0,0,0,13.94,8.82,50.37
MI,89,0,0,0,1,38.62,8.05,49.74
MI,90,0,0,0,0,27.04,9.56,49.2
MI,91,0,0,0,0,42.9,8.13,48.58
MI,92,0,0,0,0,15.04,14.01,49.18
MI,93,0,0,0,0,37.94,10.33,48.91
MI,94,1,0,0,0,37.74,47.05,52.5
MI,95,0,0,1,1,28.58,8.4,50.16
MI,96,0,0,0,0,20.66,8.37,50.77
MI,97,0,0,0,0,40.72,8.11,49.33
MI,98,0,0,0,1,48.04,5.22,49.5
MI,99,0,0,0,0,42.18,5.36,49.28
MI,100,0,0,0,0.5,38.58,6.99,49.48
MI,101,0,0,0,0,40.88,9.93,48.81
MI,102,0,0,0,1,27.58,9.49,49.23
MI,103,0,1,0,0.6666666666666666,4.18,7.27,51.29
MI,104,0,0,0,0.2,34.39,6.45,48.83
MI,105,0,0,0,0,43.46,5.92,49.29
MI,106,1,0,0,0.6666666666666666,39.16,5.86,49.55
MI,107,0,0,0,0.3333333333333333,21.34,14.5,49.59
MI,108,0,0,0,1,34.9,14.66,47.61
MI,109,0,1,0,0.3333333333333333,3.22,10.43,48.09
MI,110,0,0,0,1,26.14,7.41,47.24
GA,1,0,0,0,0,60.68,9.52,50.1
GA,2,0,0,NA,NA,100,9.86,50.69
GA,3,0,0,NA,NA,100,11,51.15
GA,4,0,1,NA,NA,100,29.25,49.59
GA,5,0,0,NA,NA,100,18.27,50.57
GA,6,0,0,0,1,70.6,9.11,49.9
GA,7,0,0,NA,NA,100,7.93,50.51
GA,8,0,0,0,0.5,69.66,7.48,51.16
GA,9,0,0,NA,NA,100,8.66,49.94
GA,10,0,0,0,1,65.88,16.26,52.17
GA,11,0,0,0,1,65.56,8.99,48.46
GA,12,1,0,0,0,63.38,17.21,49.32
GA,13,0,1,0,0,39.46,32.16,51.44
GA,14,0,0,NA,NA,100,15.92,50.33
GA,15,0,0,NA,NA,100,22.5,50.3
GA,16,0,0,NA,NA,100,19.87,50.11
GA,17,0,0,NA,NA,100,31.86,51.33
GA,18,0,0,NA,NA,100,12.4,50.89
GA,19,0,0,0,0,14.62,32.8,51.14
GA,20,1,1,NA,NA,100,22.37,51.84
GA,21,0,0,0,0,49.96,11.36,50.48
GA,22,0,0,0,0,21.1,31.88,49.5
GA,23,0,1,NA,NA,100,20.97,47.71
GA,24,0,0,0,1,34.96,35.12,50.12
GA,25,0,0,0,0.5,22.02,43.51,49.57
GA,26,0,1,1,1,41.54,29.2,51.34
GA,27,0,0,NA,NA,100,14.25,50.02
GA,28,0,0,0,0,56.58,15.9,49.45
GA,29,0,0,NA,NA,100,41.38,50.94
GA,30,1,0,0,1,46,25.78,49.85
GA,31,0,0,NA,NA,100,23.49,49.41
GA,32,0,0,NA,NA,100,17.5,51.46
GA,33,0,0,NA,NA,100,18.22,50.49
GA,34,0,0,1,0,15.3,30.88,51.06
GA,35,0,1,0,0,21.58,42.51,52.91
GA,36,0,1,0,0,100,27.54,51.49
GA,37,0,1,1,1,11.42,54.72,52.52
GA,38,1,0,1,1,100,68.37,53.41
GA,39,1,0,NA,NA,100,68.58,51.89
GA,40,0,0,0.5,0.5,18.7,49.56,52.2
GA,41,1,0,1,1,40.04,70.02,50.81
GA,42,0,1,1,0.5,26.62,62.36,49.39
GA,43,1,0,NA,NA,100,51.27,48.54
GA,44,0,0,1,1,13.74,31.75,50.71
GA,45,1,1,1,0,14.92,22.72,49.92
GA,46,0,0,1,0,17.76,21.13,52.75
GA,47,1,0,0.3333333333333333,0.6666666666666666,23.16,37.55,48.65
GA,48,0,0,1,1,9.74,38.16,48.97
GA,49,1,0,0.6666666666666666,0.3333333333333333,19,27.87,52.08
