state,statehouse_district_number,total_candidates,pct_white,pct_nonwhite,pct_female,pct_male,count_white,count_nonwhite,count_female,count_male
MI,10,3,0.3333333333333333,0.6666666666666666,0,1,1,2,0,3
MI,11,1,1,0,0,1,1,0,0,1
MI,12,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,13,7,0.7142857142857143,0.2857142857142857,0.2857142857142857,0.7142857142857143,5,2,2,5
MI,14,2,1,0,0.5,0.5,2,0,1,1
MI,15,1,1,0,0,1,1,0,0,1
MI,16,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
MI,17,1,0,1,1,0,0,1,1,0
MI,18,1,1,0,0,1,1,0,0,1
MI,19,1,1,0,0,1,1,0,0,1
MI,20,2,1,0,0,1,2,0,0,2
MI,21,2,1,0,0,1,2,0,0,2
MI,22,2,0.5,0.5,0,1,1,1,0,2
MI,23,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,24,1,0,1,0,1,0,1,0,1
MI,25,6,0.16666666666666666,0.8333333333333334,0.5,0.5,1,5,3,3
MI,26,2,0.5,0.5,0,0.5,1,1,0,1
MI,27,4,0.75,0.25,0.5,0.5,3,1,2,2
MI,28,3,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1,2,1
MI,29,1,0,1,0,1,0,1,0,1
MI,30,1,1,0,0,1,1,0,0,1
MI,31,1,1,0,0,1,1,0,0,1
MI,32,4,1,0,0,1,4,0,0,4
MI,33,4,0.75,0.25,0.25,0.75,3,1,1,3
MI,34,2,1,0,0.5,0.5,2,0,1,1
MI,35,4,1,0,0.25,0.75,4,0,1,3
MI,36,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
MI,37,1,0,1,1,0,0,1,1,0
MI,38,2,1,0,0,1,2,0,0,2
MI,39,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,40,4,0.75,0.25,0.75,0.25,3,1,3,1
MI,41,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
MI,42,2,1,0,0,1,2,0,0,2
MI,43,1,1,0,1,0,1,0,1,0
MI,44,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,45,1,1,0,0,1,1,0,0,1
MI,46,1,1,0,0,1,1,0,0,1
MI,47,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
MI,48,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
MI,49,1,1,0,0,1,1,0,0,1
MI,50,4,1,0,0.25,0.75,4,0,1,3
MI,51,4,1,0,0.75,0.25,4,0,3,1
MI,52,1,1,0,1,0,1,0,1,0
MI,53,1,1,0,1,0,1,0,1,0
MI,54,2,0.5,0.5,1,0,1,1,2,0
MI,55,3,0.3333333333333333,0.6666666666666666,0,1,1,2,0,3
MI,56,1,1,0,0,1,1,0,0,1
MI,57,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,2,1,1,2
MI,58,3,0.6666666666666666,0.3333333333333333,0,1,2,1,0,3
MI,59,2,1,0,0.5,0.5,2,0,1,1
MI,60,1,1,0,1,0,1,0,1,0
MI,61,3,1,0,0,1,3,0,0,3
MI,62,1,1,0,1,0,1,0,1,0
MI,63,2,1,0,0,1,2,0,0,2
MI,64,9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,8,1,1,8
MI,65,1,1,0,1,0,1,0,1,0
MI,66,3,1,0,0,1,3,0,0,3
MI,67,3,1,0,1,0,3,0,3,0
MI,68,1,1,0,0,1,1,0,0,1
MI,69,1,0,1,0,1,0,1,0,1
MI,70,2,1,0,0,1,2,0,0,2
MI,71,2,1,0,0,1,2,0,0,2
MI,72,1,1,0,0,1,1,0,0,1
MI,73,1,1,0,0,1,1,0,0,1
MI,74,1,1,0,0,1,1,0,0,1
MI,75,1,1,0,0,1,1,0,0,1
MI,76,2,1,0,0,1,2,0,0,2
MI,77,3,1,0,1,0,3,0,3,0
MI,78,2,1,0,0.5,0.5,2,0,1,1
MI,79,1,1,0,0,1,1,0,0,1
MI,80,1,1,0,0,1,1,0,0,1
MI,81,2,1,0,0,1,2,0,0,2
MI,82,1,1,0,0,1,1,0,0,1
MI,83,3,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1,2,1,2
MI,84,3,1,0,0,1,3,0,0,3
MI,85,1,0,1,1,0,0,1,1,0
MI,86,1,1,0,1,0,1,0,1,0
MI,87,2,0.5,0.5,0,1,1,1,0,2
MI,88,1,1,0,0,1,1,0,0,1
MI,89,1,1,0,1,0,1,0,1,0
MI,90,1,1,0,0,1,1,0,0,1
MI,91,1,1,0,0,1,1,0,0,1
MI,92,1,1,0,0,1,1,0,0,1
MI,93,2,1,0,0,1,2,0,0,2
MI,94,2,1,0,0,1,2,0,0,2
MI,95,1,0,1,1,0,0,1,1,0
MI,96,2,1,0,0,1,2,0,0,2
MI,97,1,1,0,0,1,1,0,0,1
MI,98,1,1,0,1,0,1,0,1,0
MI,99,1,1,0,0,1,1,0,0,1
MI,100,2,1,0,0.5,0.5,2,0,1,1
MI,101,2,1,0,0,1,2,0,0,2
MI,102,1,1,0,1,0,1,0,1,0
MI,103,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
MI,104,5,1,0,0.2,0.8,5,0,1,4
MI,105,2,1,0,0,1,2,0,0,2
MI,106,3,1,0,0.6666666666666666,0.3333333333333333,3,0,2,1
MI,107,3,1,0,0.3333333333333333,0.6666666666666666,3,0,1,2
MI,108,2,1,0,1,0,2,0,2,0
MI,109,6,1,0,0.3333333333333333,0.6666666666666666,6,0,2,4
MI,110,1,1,0,1,0,1,0,1,0
NV,1,1,0,1,0,1,0,1,0,1
NV,2,1,1,0,0,1,1,0,0,1
NV,3,2,0.5,0.5,0.5,0.5,1,1,1,1
